0	180	0	255	0	26	23
176	180	0	50	180	255	25
0	30	0	25	180	255	25
0	30	26	50	180	255	24
31	85	0	50	180	255	25
86	130	0	50	205	255	25
131	137	0	50	180	255	25
138	175	0	50	205	255	25
6	30	0	50	129	179	24
96	130	0	50	180	204	24
146	175	51	77	205	255	24
138	175	0	50	153	204	24
176	180	39	77	180	255	24
0	5	39	77	180	255	24
16	25	51	77	153	255	24
16	25	78	128	180	255	24
26	30	0	50	103	128	24
26	30	51	102	180	255	24
31	85	0	50	153	179	24
31	85	51	77	205	255	24
86	95	0	50	153	204	24
86	95	51	77	180	255	24
96	110	51	102	205	255	24
111	130	51	77	231	255	24
131	137	51	102	205	255	24
138	145	51	102	231	255	24
16	25	78	128	27	38	22
86	95	0	50	27	38	22
96	110	153	255	27	38	22
111	130	205	255	27	38	22
111	130	0	50	27	38	22
111	130	51	77	27	50	22
118	130	129	204	27	50	22
131	175	0	255	27	38	22
176	180	205	255	103	255	1
0	5	205	255	103	255	1
176	180	205	255	27	102	21
0	5	205	255	27	102	21
176	180	0	63	78	179	19
0	5	0	63	78	179	19
176	180	0	77	27	77	18
0	5	0	77	27	77	18
176	180	64	77	78	179	15
0	5	64	77	78	179	19
176	180	78	165	103	255	13
0	5	78	165	103	255	13
176	180	78	165	27	102	20
0	5	78	165	27	102	20
176	180	166	204	180	255	14
0	5	166	204	180	255	14
176	180	166	204	78	179	1
0	5	166	204	78	179	1
176	180	166	204	27	77	21
0	5	166	204	27	77	21
6	15	0	50	27	77	18
6	15	0	102	78	128	19
6	15	103	152	129	255	13
6	15	51	102	129	255	24
6	15	153	255	153	255	2
6	15	153	255	27	102	21
6	15	180	255	103	153	2
6	15	153	179	103	153	13
6	15	51	102	27	77	21
6	15	103	152	27	128	21
16	25	129	255	153	255	3
16	25	129	255	27	102	21
16	20	129	255	103	152	3
21	25	129	255	103	152	5
16	25	0	77	27	77	18
16	25	0	50	78	128	19
16	25	51	77	78	152	19
16	25	78	128	39	77	22
16	25	78	102	78	152	18
16	25	78	102	153	179	24
16	25	103	128	78	179	24
26	30	180	255	153	255	4
26	30	180	255	78	152	5
26	30	180	255	27	77	6
26	30	0	102	27	77	18
26	30	0	50	78	102	19
26	30	51	102	78	179	5
26	30	103	179	205	255	3
26	30	103	179	51	204	5
26	30	103	179	27	50	6
31	85	129	255	51	255	5
31	85	0	50	78	152	19
31	85	0	50	27	77	18
31	37	78	128	205	255	3
38	85	78	128	205	255	5
31	85	51	255	27	50	6
31	85	51	128	51	204	5
86	95	129	255	180	255	7
86	95	0	50	78	152	19
86	95	0	50	39	77	18
86	95	128	255	78	179	5
86	95	78	255	27	77	6
86	95	50	77	27	50	18
86	95	50	77	51	128	19
86	95	51	77	129	179	8
86	95	78	128	205	255	8
86	95	78	128	78	204	5
96	110	153	255	103	255	8
96	100	153	255	39	102	18
101	110	153	255	39	102	9
96	110	0	50	103	179	19
96	110	0	50	27	102	18
96	110	51	102	103	204	8
96	110	51	102	27	50	18
96	110	103	152	129	255	8
96	110	103	152	27	38	18
96	110	103	152	39	77	9
96	110	103	152	78	128	8
111	130	205	255	39	255	9
111	130	0	50	103	179	19
111	130	0	50	39	102	18
111	130	51	77	129	230	19
111	130	51	77	51	128	18
111	130	78	204	153	255	8
111	130	78	128	78	152	8
111	118	103	128	27	50	9
119	130	103	128	27	50	11
111	130	103	128	51	77	8
111	130	78	102	27	77	18
111	117	129	204	78	152	8
111	117	129	204	27	77	9
118	130	129	179	78	152	8
118	130	180	204	78	152	11
126	130	129	204	51	77	11
118	125	129	204	51	77	9
131	137	0	50	129	179	19
131	137	0	50	51	128	18
131	137	51	102	129	204	10
131	137	51	102	39	128	18
131	137	103	255	153	255	10
131	137	205	255	39	152	11
131	137	103	204	78	152	10
131	137	103	204	39	77	11
138	145	180	255	153	255	10
138	145	180	255	39	152	11
138	145	103	179	180	255	15
138	145	103	179	103	179	10
138	145	103	179	39	102	11
138	145	0	50	78	152	19
138	145	0	50	39	77	18
138	145	51	102	129	230	10
138	145	51	102	103	128	19
138	145	51	102	39	102	18
146	155	0	77	39	102	18
146	155	205	255	153	255	16
146	155	205	255	39	77	11
146	155	205	255	78	152	12
146	155	153	204	180	255	17
146	155	153	204	39	102	11
146	155	153	204	103	179	12
146	155	103	152	180	255	15
146	155	103	152	129	179	10
146	155	103	152	39	128	11
146	155	51	77	103	204	19
146	155	78	102	153	255	15
146	155	78	102	78	152	10
146	155	78	102	39	77	11
146	175	0	50	103	152	19
156	175	0	50	39	102	18
156	175	51	77	129	204	19
156	175	51	77	39	128	18
156	175	78	128	153	255	15
156	175	78	128	103	152	12
156	175	78	128	39	102	11
156	175	129	255	103	255	17
156	175	129	255	78	102	12
156	175	129	255	51	77	14
156	175	129	255	39	50	21
96	110	51	102	51	102	8
